Test Case ID,Module,Priority,Type,Title,Description,Preconditions,Test Steps,Expected Result,Status,Comments
TC-SCOPE-MEM-004,Member Management,High,Negative,Participant CANNOT add members to group,"Verify participant is denied member addition (permission=deny)",Participant in group,"1. POST /groups/{guid}/members with onBehalfOf=participant adding uid-new
2. Verify status 403 or error response
3. GET /groups/{guid}/members — verify new member NOT listed",Participant denied adding members — 403,Not Automated,Critical permission boundary
TC-SCOPE-MEM-005,Member Management,High,Functional,Owner can remove/kick members,"Verify owner can kick any member",Owner in group with members,"1. DELETE /groups/{guid}/members/{participant-uid} with onBehalfOf=owner
2. Verify status 200
3. GET /groups/{guid}/members — verify member removed",Owner can kick members — 200,Not Automated,
TC-SCOPE-MEM-006,Member Management,High,Functional,Admin can remove/kick members,"Verify admin can kick members (permission=allow)",Admin in group with participant,"1. DELETE /groups/{guid}/members/{participant-uid} with onBehalfOf=admin
2. Verify status 200",Admin can kick members — 200,Not Automated,
TC-SCOPE-MEM-007,Member Management,High,Functional,Moderator can remove/kick members,"Verify moderator can kick members (permission=allow)",Moderator in group with participant,"1. DELETE /groups/{guid}/members/{participant-uid} with onBehalfOf=moderator
2. Verify status 200",Moderator can kick members — 200,Not Automated,
TC-SCOPE-MEM-008,Member Management,High,Negative,Participant CANNOT remove/kick members,"Verify participant is denied member removal (permission=deny)",Participant in group,"1. DELETE /groups/{guid}/members/{other-uid} with onBehalfOf=participant
2. Verify status 403 or error",Participant denied kicking members — 403,Not Automated,Critical permission boundary
TC-SCOPE-MEM-009,Member Management,High,Functional,Owner can list all members,"Verify owner can list group members",Owner in group,"1. GET /groups/{guid}/members with onBehalfOf=owner
2. Verify status 200 with array of members",Owner can list members — 200,Not Automated,
TC-SCOPE-MEM-010,Member Management,Medium,Functional,Participant can list members,"Verify participant can list members (permission=allow)",Participant in group,"1. GET /groups/{guid}/members with onBehalfOf=participant
2. Verify status 200 with array",Participant can list members — 200,Not Automated,
TC-SCOPE-MEM-011,Member Management,High,Functional,Owner can ban a member,"Verify owner can ban members from group",Owner in group with participant,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=owner banning participant-uid
2. Verify status 200
3. GET /groups/{guid}/bannedmembers — verify banned member listed",Owner can ban members — 200,Not Automated,
TC-SCOPE-MEM-012,Member Management,High,Functional,Admin can ban a member,"Verify admin can ban members (permission=allow)",Admin in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=admin
2. Verify status 200",Admin can ban members — 200,Not Automated,
TC-SCOPE-MEM-013,Member Management,High,Functional,Moderator can ban a member,"Verify moderator can ban members (permission=allow)",Moderator in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=moderator
2. Verify status 200",Moderator can ban members — 200,Not Automated,
TC-SCOPE-MEM-014,Member Management,High,Negative,Participant CANNOT ban a member,"Verify participant is denied banning (permission=deny)",Participant in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=participant
2. Verify status 403 or error",Participant denied banning — 403,Not Automated,Critical permission boundary
TC-SCOPE-MEM-015,Member Management,High,Functional,Owner can unban a member,"Verify owner can unban previously banned member",Owner in group with banned member,"1. DELETE /groups/{guid}/bannedmembers/{banned-uid} with onBehalfOf=owner
2. Verify status 200
3. GET /groups/{guid}/bannedmembers — verify member no longer banned",Owner can unban members — 200,Not Automated,
TC-SCOPE-MEM-016,Member Management,Medium,Functional,Admin can unban a member,"Verify admin can unban members",Admin in group with banned member,"1. DELETE /groups/{guid}/bannedmembers/{banned-uid} with onBehalfOf=admin
2. Verify status 200",Admin can unban members — 200,Not Automated,
TC-SCOPE-MEM-017,Member Management,Medium,Functional,Moderator can unban a member,"Verify moderator can unban members (permission=allow)",Moderator in group with banned member,"1. DELETE /groups/{guid}/bannedmembers/{banned-uid} with onBehalfOf=moderator
2. Verify status 200",Moderator can unban members — 200,Not Automated,
TC-SCOPE-MEM-018,Member Management,High,Negative,Participant CANNOT unban a member,"Verify participant is denied unbanning (permission=deny)",Participant in group,"1. DELETE /groups/{guid}/bannedmembers/{banned-uid} with onBehalfOf=participant
2. Verify status 403 or error",Participant denied unbanning — 403,Not Automated,Critical permission boundary
TC-SCOPE-MEM-019,Member Management,Medium,Functional,Owner can list banned members,"Verify owner can view banned members list",Owner in group,"1. GET /groups/{guid}/bannedmembers with onBehalfOf=owner
2. Verify status 200",Owner can list banned members — 200,Not Automated,
TC-SCOPE-MEM-020,Member Management,Medium,Functional,Admin can list banned members,"Verify admin can view banned members list",Admin in group,"1. GET /groups/{guid}/bannedmembers with onBehalfOf=admin
2. Verify status 200",Admin can list banned members — 200,Not Automated,
TC-SCOPE-MEM-021,Member Management,Medium,Functional,Moderator can list banned members,"Verify moderator can view banned members (permission=allow)",Moderator in group,"1. GET /groups/{guid}/bannedmembers with onBehalfOf=moderator
2. Verify status 200",Moderator can list banned members — 200,Not Automated,
TC-SCOPE-MEM-022,Member Management,High,Negative,Participant CANNOT list banned members,"Verify participant is denied viewing banned list (permission=deny)",Participant in group,"1. GET /groups/{guid}/bannedmembers with onBehalfOf=participant
2. Verify status 403 or error",Participant denied listing banned — 403,Not Automated,Critical permission boundary
TC-SCOPE-MEM-023,Member Management,High,Functional,Owner can upgrade member scope,"Verify owner can promote participant to moderator/admin",Owner in group with participant,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=owner setting scope=moderator
2. Verify status 200
3. GET /groups/{guid}/members — verify scope changed",Owner can upgrade member scope — 200,Not Automated,
TC-SCOPE-MEM-024,Member Management,Medium,Functional,Admin can upgrade member scope,"Verify admin can promote members (permission=allow)",Admin in group,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=admin setting scope=moderator
2. Verify status 200",Admin can upgrade scope — 200,Not Automated,
TC-SCOPE-MEM-025,Member Management,Medium,Functional,Moderator can upgrade member scope,"Verify moderator can promote members (permission=allow)",Moderator in group,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=moderator setting scope=moderator
2. Verify status 200 or appropriate response",Moderator can upgrade scope — 200,Not Automated,May be limited by hierarchy
TC-SCOPE-MEM-026,Member Management,High,Negative,Participant CANNOT upgrade member scope,"Verify participant is denied scope upgrade (permission=deny)",Participant in group,"1. PUT /groups/{guid}/members/{other-uid} with onBehalfOf=participant setting scope=admin
2. Verify status 403 or error",Participant denied upgrading scope — 403,Not Automated,Critical permission boundary
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — KICK SCOPE FILTER (HIERARCHY) ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-KICK-001,Kick Scope Filter,High,Functional,Owner can kick admin,"Verify owner can kick an admin-scoped member",Owner in group with admin member,"1. Add uid-2 as admin
2. DELETE /groups/{guid}/members/{admin-uid} with onBehalfOf=owner
3. Verify status 200
4. GET /groups/{guid}/members — verify admin removed",Owner can kick admin — 200,Not Automated,
TC-SCOPE-KICK-002,Kick Scope Filter,High,Functional,Owner can kick moderator,"Verify owner can kick a moderator-scoped member",Owner in group with moderator,"1. Add uid-3 as moderator
2. DELETE /groups/{guid}/members/{moderator-uid} with onBehalfOf=owner
3. Verify status 200",Owner can kick moderator — 200,Not Automated,
TC-SCOPE-KICK-003,Kick Scope Filter,High,Functional,Owner can kick participant,"Verify owner can kick a participant",Owner in group with participant,"1. Add uid-4 as participant
2. DELETE /groups/{guid}/members/{participant-uid} with onBehalfOf=owner
3. Verify status 200",Owner can kick participant — 200,Not Automated,
TC-SCOPE-KICK-004,Kick Scope Filter,High,Functional,Admin can kick moderator,"Verify admin can kick moderator (lower scope)",Admin in group with moderator,"1. DELETE /groups/{guid}/members/{moderator-uid} with onBehalfOf=admin
2. Verify status 200",Admin can kick moderator — 200,Not Automated,
TC-SCOPE-KICK-005,Kick Scope Filter,High,Functional,Admin can kick participant,"Verify admin can kick participant (lower scope)",Admin in group with participant,"1. DELETE /groups/{guid}/members/{participant-uid} with onBehalfOf=admin
2. Verify status 200",Admin can kick participant — 200,Not Automated,
TC-SCOPE-KICK-006,Kick Scope Filter,High,Negative,Admin CANNOT kick owner,"Verify admin cannot kick the group owner (higher scope)",Admin in group with owner,"1. DELETE /groups/{guid}/members/{owner-uid} with onBehalfOf=admin
2. Verify status 403 or error",Admin denied kicking owner — 403,Not Automated,Hierarchy enforcement
TC-SCOPE-KICK-007,Kick Scope Filter,High,Negative,Admin CANNOT kick another admin,"Verify admin cannot kick equal-scope admin",Two admins in group,"1. Add uid-2 and uid-3 both as admin
2. DELETE /groups/{guid}/members/{admin2-uid} with onBehalfOf=admin1
3. Verify status 403 or error",Admin denied kicking equal admin — 403,Not Automated,Equal scope restriction
TC-SCOPE-KICK-008,Kick Scope Filter,High,Functional,Moderator can kick participant,"Verify moderator can kick participant (lower scope)",Moderator in group with participant,"1. DELETE /groups/{guid}/members/{participant-uid} with onBehalfOf=moderator
2. Verify status 200",Moderator can kick participant — 200,Not Automated,
TC-SCOPE-KICK-009,Kick Scope Filter,High,Negative,Moderator CANNOT kick admin,"Verify moderator cannot kick admin (higher scope)",Moderator in group with admin,"1. DELETE /groups/{guid}/members/{admin-uid} with onBehalfOf=moderator
2. Verify status 403 or error",Moderator denied kicking admin — 403,Not Automated,Hierarchy enforcement
TC-SCOPE-KICK-010,Kick Scope Filter,High,Negative,Moderator CANNOT kick owner,"Verify moderator cannot kick owner (highest scope)",Moderator in group with owner,"1. DELETE /groups/{guid}/members/{owner-uid} with onBehalfOf=moderator
2. Verify status 403 or error",Moderator denied kicking owner — 403,Not Automated,Hierarchy enforcement
TC-SCOPE-KICK-011,Kick Scope Filter,Medium,Negative,Moderator CANNOT kick another moderator,"Verify moderator cannot kick equal-scope moderator",Two moderators in group,"1. Add uid-3 and uid-4 both as moderator
2. DELETE /groups/{guid}/members/{mod2-uid} with onBehalfOf=mod1
3. Verify status 403 or error",Moderator denied kicking equal moderator — 403,Not Automated,Equal scope restriction
TC-SCOPE-KICK-012,Kick Scope Filter,High,Negative,Participant CANNOT kick anyone,"Verify participant cannot kick any member (permission=deny)",Participant in group,"1. DELETE /groups/{guid}/members/{any-uid} with onBehalfOf=participant
2. Verify status 403 or error",Participant denied kicking — 403,Not Automated,
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — BAN SCOPE FILTER (HIERARCHY) ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-BAN-001,Ban Scope Filter,High,Functional,Owner can ban admin,"Verify owner can ban an admin member",Owner in group with admin,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=owner banning admin-uid
2. Verify status 200",Owner can ban admin — 200,Not Automated,
TC-SCOPE-BAN-002,Ban Scope Filter,High,Functional,Owner can ban moderator,"Verify owner can ban a moderator",Owner in group with moderator,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=owner banning moderator-uid
2. Verify status 200",Owner can ban moderator — 200,Not Automated,
TC-SCOPE-BAN-003,Ban Scope Filter,High,Functional,Owner can ban participant,"Verify owner can ban a participant",Owner in group with participant,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=owner banning participant-uid
2. Verify status 200",Owner can ban participant — 200,Not Automated,
TC-SCOPE-BAN-004,Ban Scope Filter,High,Functional,Admin can ban moderator,"Verify admin can ban moderator (lower scope)",Admin in group with moderator,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=admin banning moderator-uid
2. Verify status 200",Admin can ban moderator — 200,Not Automated,
TC-SCOPE-BAN-005,Ban Scope Filter,High,Functional,Admin can ban participant,"Verify admin can ban participant (lower scope)",Admin in group with participant,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=admin banning participant-uid
2. Verify status 200",Admin can ban participant — 200,Not Automated,
TC-SCOPE-BAN-006,Ban Scope Filter,High,Negative,Admin CANNOT ban owner,"Verify admin cannot ban the group owner",Admin in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=admin banning owner-uid
2. Verify status 403 or error",Admin denied banning owner — 403,Not Automated,
TC-SCOPE-BAN-007,Ban Scope Filter,High,Negative,Admin CANNOT ban another admin,"Verify admin cannot ban equal-scope admin",Two admins in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=admin1 banning admin2-uid
2. Verify status 403 or error",Admin denied banning equal admin — 403,Not Automated,
TC-SCOPE-BAN-008,Ban Scope Filter,High,Functional,Moderator can ban participant,"Verify moderator can ban participant (lower scope)",Moderator in group with participant,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=moderator banning participant-uid
2. Verify status 200",Moderator can ban participant — 200,Not Automated,
TC-SCOPE-BAN-009,Ban Scope Filter,High,Negative,Moderator CANNOT ban admin,"Verify moderator cannot ban admin (higher scope)",Moderator in group with admin,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=moderator banning admin-uid
2. Verify status 403 or error",Moderator denied banning admin — 403,Not Automated,
TC-SCOPE-BAN-010,Ban Scope Filter,High,Negative,Moderator CANNOT ban owner,"Verify moderator cannot ban owner",Moderator in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=moderator banning owner-uid
2. Verify status 403 or error",Moderator denied banning owner — 403,Not Automated,
TC-SCOPE-BAN-011,Ban Scope Filter,Medium,Negative,Moderator CANNOT ban another moderator,"Verify moderator cannot ban equal-scope moderator",Two moderators in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=mod1 banning mod2-uid
2. Verify status 403 or error",Moderator denied banning equal moderator — 403,Not Automated,
TC-SCOPE-BAN-012,Ban Scope Filter,High,Negative,Participant CANNOT ban anyone,"Verify participant cannot ban any member (permission=deny)",Participant in group,"1. POST /groups/{guid}/bannedmembers with onBehalfOf=participant banning any-uid
2. Verify status 403 or error",Participant denied banning — 403,Not Automated,
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — SCOPE UPGRADE/DOWNGRADE HIERARCHY ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-UPG-001,Scope Upgrade,High,Functional,Owner can promote participant to moderator,"Verify owner can change participant scope to moderator",Owner in group with participant,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=owner scope=moderator
2. Verify status 200
3. GET /groups/{guid}/members — verify scope=moderator",Owner promotes participant to moderator — 200,Not Automated,
TC-SCOPE-UPG-002,Scope Upgrade,High,Functional,Owner can promote participant to admin,"Verify owner can change participant scope to admin",Owner in group with participant,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=owner scope=admin
2. Verify status 200
3. GET /groups/{guid}/members — verify scope=admin",Owner promotes participant to admin — 200,Not Automated,
TC-SCOPE-UPG-003,Scope Upgrade,High,Functional,Owner can promote moderator to admin,"Verify owner can change moderator scope to admin",Owner in group with moderator,"1. PUT /groups/{guid}/members/{moderator-uid} with onBehalfOf=owner scope=admin
2. Verify status 200",Owner promotes moderator to admin — 200,Not Automated,
TC-SCOPE-UPG-004,Scope Upgrade,High,Functional,Owner can demote admin to moderator,"Verify owner can downgrade admin to moderator",Owner in group with admin,"1. PUT /groups/{guid}/members/{admin-uid} with onBehalfOf=owner scope=moderator
2. Verify status 200",Owner demotes admin to moderator — 200,Not Automated,
TC-SCOPE-UPG-005,Scope Upgrade,High,Functional,Owner can demote admin to participant,"Verify owner can downgrade admin to participant",Owner in group with admin,"1. PUT /groups/{guid}/members/{admin-uid} with onBehalfOf=owner scope=participant
2. Verify status 200",Owner demotes admin to participant — 200,Not Automated,
TC-SCOPE-UPG-006,Scope Upgrade,High,Functional,Owner can demote moderator to participant,"Verify owner can downgrade moderator to participant",Owner in group with moderator,"1. PUT /groups/{guid}/members/{moderator-uid} with onBehalfOf=owner scope=participant
2. Verify status 200",Owner demotes moderator to participant — 200,Not Automated,
TC-SCOPE-UPG-007,Scope Upgrade,Medium,Functional,Admin can promote participant to moderator,"Verify admin can promote participant",Admin in group with participant,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=admin scope=moderator
2. Verify status 200",Admin promotes participant to moderator — 200,Not Automated,
TC-SCOPE-UPG-008,Scope Upgrade,Medium,Negative,Admin CANNOT promote to admin (equal scope),"Verify admin cannot promote someone to their own level",Admin in group with participant,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=admin scope=admin
2. Verify status 403 or error",Admin denied promoting to admin — 403,Not Automated,Cannot promote to equal/higher scope
TC-SCOPE-UPG-009,Scope Upgrade,High,Negative,Admin CANNOT demote owner,"Verify admin cannot change owner scope",Admin in group,"1. PUT /groups/{guid}/members/{owner-uid} with onBehalfOf=admin scope=participant
2. Verify status 403 or error",Admin denied demoting owner — 403,Not Automated,
TC-SCOPE-UPG-010,Scope Upgrade,Medium,Negative,Admin CANNOT demote another admin,"Verify admin cannot demote equal-scope admin",Two admins in group,"1. PUT /groups/{guid}/members/{admin2-uid} with onBehalfOf=admin1 scope=participant
2. Verify status 403 or error",Admin denied demoting equal admin — 403,Not Automated,
TC-SCOPE-UPG-011,Scope Upgrade,High,Negative,Moderator CANNOT promote to admin,"Verify moderator cannot promote anyone to admin (higher than self)",Moderator in group,"1. PUT /groups/{guid}/members/{participant-uid} with onBehalfOf=moderator scope=admin
2. Verify status 403 or error",Moderator denied promoting to admin — 403,Not Automated,
TC-SCOPE-UPG-012,Scope Upgrade,High,Negative,Participant CANNOT upgrade any member,"Verify participant is denied all scope changes (permission=deny)",Participant in group,"1. PUT /groups/{guid}/members/{other-uid} with onBehalfOf=participant scope=admin
2. Verify status 403 or error",Participant denied scope changes — 403,Not Automated,
TC-SCOPE-UPG-013,Scope Upgrade,Medium,Negative,Participant CANNOT promote self,"Verify participant cannot self-promote to admin/moderator",Participant in group,"1. PUT /groups/{guid}/members/{self-uid} with onBehalfOf=participant scope=admin
2. Verify status 403 or error",Participant denied self-promotion — 403,Not Automated,Privilege escalation prevention
TC-SCOPE-UPG-014,Scope Upgrade,Medium,Negative,Moderator CANNOT promote self to admin,"Verify moderator cannot self-promote",Moderator in group,"1. PUT /groups/{guid}/members/{self-uid} with onBehalfOf=moderator scope=admin
2. Verify status 403 or error",Moderator denied self-promotion — 403,Not Automated,Privilege escalation prevention
TC-SCOPE-UPG-015,Scope Upgrade,Medium,Negative,Admin CANNOT promote self to owner,"Verify admin cannot self-promote to owner",Admin in group,"1. PUT /groups/{guid}/members/{self-uid} with onBehalfOf=admin scope=owner
2. Verify status 403 or error",Admin denied self-promotion to owner — 403,Not Automated,Privilege escalation prevention
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — MESSAGE PERMISSIONS ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-MSG-001,Message Permissions,High,Functional,Owner can send messages in group,"Verify owner can send text messages",Owner in group,"1. POST /messages with onBehalfOf=owner receiver=guid receiverType=group type=text
2. Verify status 200
3. Verify message ID in response",Owner can send messages — 200,Not Automated,
TC-SCOPE-MSG-002,Message Permissions,High,Functional,Admin can send messages in group,"Verify admin can send messages",Admin in group,"1. POST /messages with onBehalfOf=admin
2. Verify status 200",Admin can send messages — 200,Not Automated,
TC-SCOPE-MSG-003,Message Permissions,High,Functional,Moderator can send messages in group,"Verify moderator can send messages (permission=allow)",Moderator in group,"1. POST /messages with onBehalfOf=moderator
2. Verify status 200",Moderator can send messages — 200,Not Automated,
TC-SCOPE-MSG-004,Message Permissions,High,Functional,Participant can send messages in group,"Verify participant can send messages (permission=allow)",Participant in group,"1. POST /messages with onBehalfOf=participant
2. Verify status 200",Participant can send messages — 200,Not Automated,
TC-SCOPE-MSG-005,Message Permissions,High,Functional,Owner can edit own messages,"Verify owner can edit their own messages",Owner sent a message,"1. Send message as owner
2. PUT /messages/{msgId} with onBehalfOf=owner with updated text
3. Verify status 200",Owner can edit own messages — 200,Not Automated,
TC-SCOPE-MSG-006,Message Permissions,High,Functional,Admin can edit own messages,"Verify admin can edit their own messages",Admin sent a message,"1. Send message as admin
2. PUT /messages/{msgId} with onBehalfOf=admin
3. Verify status 200",Admin can edit own messages — 200,Not Automated,
TC-SCOPE-MSG-007,Message Permissions,High,Functional,Moderator can edit own messages,"Verify moderator can edit own messages (permission=allow)",Moderator sent a message,"1. Send message as moderator
2. PUT /messages/{msgId} with onBehalfOf=moderator
3. Verify status 200",Moderator can edit own messages — 200,Not Automated,
TC-SCOPE-MSG-008,Message Permissions,High,Functional,Participant can edit own messages,"Verify participant can edit own messages (permission=allow)",Participant sent a message,"1. Send message as participant
2. PUT /messages/{msgId} with onBehalfOf=participant
3. Verify status 200",Participant can edit own messages — 200,Not Automated,
TC-SCOPE-MSG-009,Message Permissions,High,Functional,Owner can delete any message,"Verify owner can delete messages from any member",Owner in group with messages from others,"1. Send message as participant
2. DELETE /messages/{msgId} with onBehalfOf=owner
3. Verify status 200",Owner can delete any message — 200,Not Automated,
TC-SCOPE-MSG-010,Message Permissions,High,Functional,Admin can delete messages,"Verify admin can delete messages (permission=allow)",Admin in group,"1. DELETE /messages/{msgId} with onBehalfOf=admin
2. Verify status 200",Admin can delete messages — 200,Not Automated,
TC-SCOPE-MSG-011,Message Permissions,High,Functional,Moderator can delete messages,"Verify moderator can delete messages (permission=allow)",Moderator in group,"1. DELETE /messages/{msgId} with onBehalfOf=moderator
2. Verify status 200",Moderator can delete messages — 200,Not Automated,
TC-SCOPE-MSG-012,Message Permissions,High,Functional,Participant can delete own messages,"Verify participant can delete their own messages (permission=allow)",Participant sent a message,"1. Send message as participant
2. DELETE /messages/{msgId} with onBehalfOf=participant
3. Verify status 200",Participant can delete own messages — 200,Not Automated,
TC-SCOPE-MSG-013,Message Permissions,Medium,Negative,Participant CANNOT delete other members messages,"Verify participant cannot delete messages sent by others",Participant in group with others messages,"1. Send message as admin
2. DELETE /messages/{msgId} with onBehalfOf=participant
3. Verify status 403 or error",Participant denied deleting others messages — 403,Not Automated,
TC-SCOPE-MSG-014,Message Permissions,Medium,Negative,Participant CANNOT edit other members messages,"Verify participant cannot edit messages sent by others",Participant in group,"1. Send message as admin
2. PUT /messages/{msgId} with onBehalfOf=participant
3. Verify status 403 or error",Participant denied editing others messages — 403,Not Automated,
TC-SCOPE-MSG-015,Message Permissions,Medium,Functional,All roles can view message history,"Verify all roles can fetch message history (permission=allow for all)",All roles in group,"1. GET /groups/{guid}/messages with onBehalfOf=owner — verify 200
2. GET /groups/{guid}/messages with onBehalfOf=admin — verify 200
3. GET /groups/{guid}/messages with onBehalfOf=moderator — verify 200
4. GET /groups/{guid}/messages with onBehalfOf=participant — verify 200",All roles can view history — 200,Not Automated,
TC-SCOPE-MSG-016,Message Permissions,Medium,Functional,Non-member CANNOT send messages to group,"Verify non-member is denied sending messages",User not in group,"1. POST /messages with onBehalfOf=non-member receiver=guid
2. Verify status 403 or error",Non-member denied sending — 403,Not Automated,
,,,,,,,,,,
,,,,"═══ MEMBER SCOPE — THREAD PERMISSIONS ═══",,,,,,
,,,,,,,,,,
TC-SCOPE-THR-001,Thread Permissions,High,Functional,Owner can send messages in threads,"Verify owner can send thread replies",Owner in group with threaded message,"1. POST /messages with onBehalfOf=owner parentMessageId={id} receiverType=group
2. Verify status 200",Owner can send in threads — 200,Not Automated,
TC-SCOPE-THR-002,Thread Permissions,High,Functional,Admin can send messages in threads,"Verify admin can send thread replies",Admin in group,"1. POST /messages with onBehalfOf=admin parentMessageId={id}
2. Verify status 200",Admin can send in threads — 200,Not Automated,
TC-SCOPE-THR-003,Thread Permissions,High,Functional,Moderator can send messages in threads,"Verify moderator can send thread replies (permission=allow)",Moderator in group,"1. POST /messages with onBehalfOf=moderator parentMessageId={id}
2. Verify status 200",Moderator can send in threads — 200,Not Automated,
TC-SCOPE-THR-004,Thread Permissions,High,Functional,Participant can send messages in threads,"Verify participant can send thread replies (permission=allow)",Participant in group,"1. POST /messages with onBehalfOf=participant parentMessageId={id}
2. Verify status 200",Participant can send in threads — 200,Not Automated,
